base_learner_type,ensemble_method,method_params,mean_score,std_score,max_score,mean_time,std_time,cv_score
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",0.228,0.00942809,0.244,265.1162052,3.773087263,0.041351274
IF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",0.2272,0.007955431,0.244,266.1423197,3.787914019,0.035015103
IF,maximum_score,{},0.1732,0.013339998,0.192,264.5243258,3.760324331,0.077020776
IF,simple_average,{},0.2252,0.005977736,0.236,264.2568207,3.758651845,0.026544123
IF,wv_ols,{},0.2028,0.01050714,0.224,367.5241521,5.384959983,0.051810357
IF,wv_ols_r2,"{""emphasize_diversity"": false}",0.1928,0.011895844,0.216,371.6012986,5.707293269,0.061700437
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",0.4236,0.011226952,0.444,1967.023125,201.8885346,0.026503663
KMeans,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",0.442,0.010022198,0.456,1967.908441,201.9205498,0.022674655
KMeans,maximum_score,{},0.3816,0.013753383,0.4,1966.467006,201.9202718,0.036041361
KMeans,simple_average,{},0.4264,0.009082339,0.44,1966.259306,201.9214268,0.021300045
KMeans,wv_ols,{},0.4356,0.015254872,0.464,2063.164718,201.1028783,0.035020367
KMeans,wv_ols_r2,"{""emphasize_diversity"": false}",0.382,0.019708994,0.408,2070.25758,203.3264518,0.051594225
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",0.6304,0.006022181,0.64,3889.609852,5.501335916,0.009552952
LOF,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",0.6192,0.006477311,0.628,3890.447711,5.407194821,0.010460773
LOF,maximum_score,{},0.5112,0.010962563,0.528,3888.990205,5.394387359,0.021444762
LOF,simple_average,{},0.6104,0.009276014,0.628,3888.769692,5.396951042,0.015196616
LOF,wv_ols,{},0.6204,0.0113842,0.632,3984.944509,5.871013197,0.018349774
LOF,wv_ols_r2,"{""emphasize_diversity"": false}",0.5984,0.016991501,0.628,3988.802459,5.411026484,0.028394888
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": false}",0.4972,0.059361042,0.568,150.787296,4.127277233,0.119390672
MP,hard_voting,"{""spread_window"": 100, ""gaussian"": true}",0.5,0.042874494,0.552,151.6850283,4.119218138,0.085748988
MP,maximum_score,{},0.2324,0.012851286,0.256,150.2617342,4.12330269,0.055298133
MP,simple_average,{},0.5924,0.019363195,0.628,150.0543921,4.126578479,0.032686015
MP,wv_ols,{},0.4868,0.054358481,0.576,245.8745125,5.035242428,0.111664916
MP,wv_ols_r2,"{""emphasize_diversity"": false}",0.1736,0.034522778,0.232,250.3908329,3.585993721,0.19886393
